time,comic
571.0588235,462.2857143
339.4405594,401.1570248
521.9354839,391.4516129
142.7647059,179.1143911
391.4516129,485.4
449.4444444,466.7307692
274.2372881,283.8596491
175.234657,204.8101266
255.4736842,220.6363636
382.2047244,362.238806
234.4927536,216.6964286
325.7718121,297.791411
247.6530612,275.7954545
332.4657534,327.972973
433.3928571,391.4516129
466.7307692,500.4123711
664.9315068,915.8490566
382.2047244,664.9315068
557.9310345,480.5940594
292.4096386,317.254902
290.6586826,222.6605505
315.1948052,344.2553191
277.3714286,274.2372881
226.8224299,285.5294118
599.2592593,647.2
177.1532847,165.1020408
